,A,mu,sigma,unique_id
mcr-1,0.0606465932746519,87.4965338176153,2.313464338092916,79.0
mcr-1.1,0.0510979983782543,87.44542439780254,2.7213336633831475,79.0
mcr-1.2,0.0563485575035975,87.38203503980772,2.3917265129208887,79.0
mcr-1.3,0.0606342186073642,87.52410524506577,2.357908677528901,79.0
mcr-1.4,0.0561994883290576,87.66867364712316,2.351273196180677,79.0
mcr-1.5,0.0774145122742348,87.2016734385138,2.0540898100101024,79.0
mcr-1.6,0.0687942194482674,87.22240496380458,2.170433839275959,79.0
mcr-1.7,0.051813426812095,88.28106431384758,2.5890317135186,79.0
mcr-1.8,0.0649402747827411,88.00967173397756,2.409487787966273,79.0
mcr-1.9,0.0580077435219226,87.40954409199121,2.3299584223197325,79.0
mcr-1.10,0.0611870784022173,87.27714682437127,2.4953972794428587,79.0
mcr-1.11,0.0670186501143179,87.24177459438172,2.384805635141997,79.0
mcr-1.12,0.07037229723537,87.47301748425804,2.1420733725664705,79.0
mcr-1.13,0.0658253995715989,87.59416080474175,2.2769322503422345,79.0
mcr-1.14,0.0607257248095624,87.38786467711616,2.476355856049143,79.0
mcr-1.15,0.068892170287177,87.34224849096813,2.1796188197209707,79.0
mcr-1.16,0.0680671009213963,87.24462835801351,2.21812180010992,79.0
mcr-1.17,0.068157920832455,87.41663010004298,2.276935819383868,79.0
mcr-1.18,0.0694976606611276,87.46617492797013,2.272821842026692,79.0
mcr-1.19,0.0728607557561373,87.1911206368485,2.203111996968537,79.0
mcr-1.20,0.064404794800633,87.31411128614863,2.354574068455658,79.0
mcr-1.21,0.0543383602300796,87.4651271425283,2.5218789205363463,79.0
mcr-1.22,0.0546865810006361,88.33371028919515,2.500122991704488,79.0
mcr-1.23,0.0661305930503568,87.10170563633464,2.343320081024998,79.0
mcr-1.24,0.0620900808313451,87.27679466499093,2.494605228108241,79.0
mcr-1.25,0.0609628822016542,87.24137134619095,2.5316122404311123,79.0
mcr-1.26,0.066485241496523,87.38226365257158,2.350495487063584,79.0
mcr-1.28,0.0631707686075505,87.44673108078827,2.3124464548587187,79.0
mcr-1.29,0.06246241398308,87.41138676826084,2.3654096760901275,79.0
mcr-1.30,0.0578658218049854,87.39212676982577,2.416280622434204,79.0
mcr-1.31,0.0581994083407151,87.37261123876559,2.3578368108488976,79.0
mcr-1.32,0.0483493070721375,87.19321013659463,2.6968611780517544,79.0
mcr-1.33,0.0656279872890834,87.28660413833632,2.322314792786418,79.0
mcr-1.34,0.0655918880284175,87.45416652553125,2.2730716574767835,79.0
mcr-1.35,0.0615671340814217,87.43681711387869,2.351998806201092,79.0
mcr-1.36,0.0594598001148136,87.16496940947054,2.294785553292332,79.0
mcr-1.37,0.0620229135631328,87.26288472224923,2.2925020244619483,79.0
mcr-1.38,0.0648852054047905,87.2611102970673,2.201048098145669,79.0
mcr-1.39,0.0707003728103436,87.2725695099331,2.1556083585757086,79.0
mcr-1.40,0.0537454474550092,87.26280042295463,2.527861370270346,79.0
mcr-1.41,0.0623828044691817,87.32313693634222,2.6909172517917828,79.0
mcr-1.42,0.0735318474104563,87.32376635343147,2.315739472451513,80.0
mcr-1.43,0.0705094611015098,87.34590762419035,2.3397268524224204,80.0
mcr-1.44,0.0757910474071171,87.32264622158075,2.288498782257153,80.0
mcr-1.45,0.0692471177281654,87.42187321515422,2.231263149741532,80.0
mcr-1.46,0.0674788058294095,87.10683640176809,2.4585518305963445,80.0
mcr-1.47,0.0722050892818868,87.34567190183367,2.352575884612494,80.0
mcr-1.48,0.067967361208004,87.29120350658863,2.410864803379984,80.0
mcr-1.49,0.0759071838044666,87.31519732044259,2.426597764411543,80.0
mcr-1.50,0.0749378431164297,87.15372175327929,2.432273662668985,80.0
mcr-1.51,0.0697500069758453,87.49553395918788,2.359956324242192,80.0
mcr-1.52,0.0792357288140508,87.32670289035211,2.270750681929199,80.0
mcr-1.53,0.0688768982362591,87.51913577615306,2.484150141506079,80.0
mcr-1.55,0.0727931017841758,87.35440971939161,2.423790780946346,80.0
mcr-1.56,0.0805370912961322,87.14558607379053,2.1559215150064936,80.0
mcr-1.57,0.077151615680827,87.40138670004988,2.352132388541852,80.0
mcr-1.58,0.0768127755567526,87.40023901550441,2.298718383790217,80.0
mcr-1.59,0.0708510003947975,87.41305838866465,2.3978242593745507,80.0
mcr-1.60,0.0714722562710098,87.38688233489451,2.302322190819301,80.0
mcr-1.61,0.0785838052246327,87.2416198695835,2.232740421518531,80.0
mcr-1.62,0.0700833213933162,87.50825177341704,2.344811088353891,80.0
mcr-1.63,0.0793773661643132,87.26073559362241,2.0470667861067424,80.0
mcr-1.64,0.0695055456122202,87.2161838405293,2.447675262402943,80.0
mcr-1.65,0.071942707778311,87.3387132781688,2.2745308502753843,80.0
mcr-1.66,0.0683139778860699,87.46658826934991,2.439932420544164,80.0
mcr-1.67,0.0686658009341838,87.09066446586795,2.551900284922608,80.0
mcr-1.68,0.073428106935157,87.293904503947,2.352075791053377,80.0
mcr-1.69,0.0518777987652205,87.4426155181378,2.5344863909836657,61.0
mcr-1.70,0.0748823612263594,87.21861683584795,2.218247857393904,61.0
mcr-1.71,0.073845621186234,87.58326598917101,2.243305054253304,61.0
mcr-1.72,0.0712542223897588,87.16268148624367,2.317464111118256,61.0
mcr-1.73,0.0655445419850523,87.30594696565385,2.4470903672853392,61.0
mcr-1.74,0.0626782750106629,87.4964577327697,2.387808399276002,61.0
mcr-1.75,0.0694871246466699,87.41199748384165,2.28168917844067,61.0
mcr-1.76,0.0608833669221364,87.16217748864143,2.6919935177254195,61.0
mcr-1.77,0.0679970735098352,87.21598476044501,2.189278538781218,61.0
mcr-1.78,0.0581650049990703,87.46550327709319,2.3490965636624024,61.0
mcr-1.79,0.0714484691394072,87.4712396583636,2.372257471107794,61.0
mcr-1.80,0.0697873816430569,87.42002715735879,2.302476809505388,61.0
mcr-1.81,0.0503843510781008,88.30369801352076,2.661712944992683,61.0
mcr-1.83,0.0656882056742584,87.31460005319217,2.2776503415490343,61.0
mcr-1.84,0.064727451707484,87.33389814912434,2.257665560656167,61.0
mcr-1.85,0.0670484993746401,87.33709837092368,2.4620931311147864,61.0
mcr-1.86,0.058070223510069,87.44071710488498,2.453892859286508,61.0
mcr-1.87,0.0655343398496577,87.30436489238177,2.447398586393013,61.0
mcr-1.88,0.0605367388956063,87.45981436956652,2.4777864103675618,61.0
mcr-1.89,0.0672037473930818,87.25867275525242,2.497818134485032,61.0
mcr-1.90,0.0668973276294628,87.39002386343525,2.4113102015528267,61.0
mcr-1.91,0.0607999077281681,87.51485416694547,2.292930471685989,61.0
mcr-1.92,0.0643918530451461,87.30827413136286,2.2423513213562174,61.0
mcr-1.93,0.0716945812025132,87.34263622296017,2.33025874514122,61.0
mcr-1.94,0.0612770793738745,87.27447293094568,2.51299603794275,61.0
mcr-1.95,0.0639267606769059,87.38250032444188,2.4508965621860908,61.0
mcr-1.96,0.0707370958096779,87.32361046881063,2.38192032781056,61.0
mcr-1.97,0.0634458183750572,87.47252240866979,2.423176254206976,61.0
mcr-1.98,0.0676359158119464,87.44254425045746,2.43437580703074,61.0
mcr-1.99,0.0681039288741157,87.20895697533878,2.5183279670206464,61.0
mcr-1.100,0.0632675040889358,87.54176190582777,2.479044624217764,61.0
mcr-1.101,0.0711497375605544,87.37883331881896,2.332984575452695,61.0
mcr-1.102,0.0691615689606177,87.36590981536324,2.330077900559974,61.0
mcr-1.103,0.0573271664874754,87.54050318500472,2.32384190036648,61.0
mcr-1.104,0.0680992238353371,87.47035427977909,2.268765889514656,61.0
mcr-1.105,0.0677232335660789,87.44649667651674,2.3573043986720337,61.0
mcr-1.106,0.0627274473540097,87.41436342157776,2.5795337273947694,61.0
mcr-1.108,0.0529898986065366,88.03391815283392,2.425840743506457,61.0
mcr-1.109,0.071136749469904,87.44884002817788,2.3105140862450195,61.0
mcr-1.110,0.0600232157955987,87.4247513940171,2.4357256234442284,61.0
mcr-1.111,0.0626383066758492,87.47028516066261,2.396284994337834,61.0
mcr-1.112,0.0663838967160825,87.56556724281793,2.301159057500213,61.0
mcr-1.113,0.0683213632493338,87.29752371851285,2.436684708355432,61.0
mcr-1.114,0.0679099993328693,87.579104938233,2.344500315297154,61.0
mcr-1.115,0.0711007489549204,87.35852407237199,2.4281844989450896,61.0
mcr-1.116,0.0565347281183897,87.51406654883544,2.536101438722441,61.0
mcr-1.117,0.0694535236351045,87.27906355158808,2.513350380249523,61.0
mcr-1.118,0.0678851019358176,87.2937490832878,2.4887922971742102,61.0
mcr-1.119,0.066562652550308,87.3791124701558,2.425513554729364,61.0
mcr-1.120,0.0741555843789868,87.22532989504279,2.300879451444458,61.0
mcr-1.121,0.0699134131195528,87.45045436336568,2.3245712713111,61.0
mcr-1.122,0.0589608456021023,87.49487317032902,2.4943976805183348,61.0
mcr-1.123,0.0592520444693981,87.53671525807248,2.414085408524138,61.0
mcr-1.124,0.0695526128060252,87.74207848961521,2.294299125626261,61.0
mcr-1.125,0.0674358946377818,87.34950282422692,2.3408107423188627,61.0
mcr-1.126,0.0686873564760165,87.276976765525,2.456960797070473,61.0
mcr-1.127,0.0619018340841845,87.19133629477946,2.330997694250736,61.0
mcr-1.129,0.0691218274799518,87.3113500196684,2.2595477894546576,61.0
mcr-1.130,0.0689086333410637,87.38273768530962,2.3661932908383285,61.0
mcr-1.131,0.0741110785028455,87.27453683198404,2.1691032560537065,61.0
mcr-1.132,0.0672327530400062,87.35569940989731,2.3304104764544813,61.0
mcr-1.133,0.0714939743440355,87.3269017041642,2.3181117459254272,61.0
mcr-1.134,0.0674632059490068,87.22856144020207,2.4848381033788494,61.0
mcr-1.135,0.0672167546642958,87.35327395264304,2.3249499903206177,61.0
mcr-1.136,0.066962040716832,87.44637862361317,2.243694377556597,61.0
mcr-1.137,0.0542803393302815,88.42035478571435,2.545452000576905,61.0
mcr-1.138,0.054641395724014,87.99615218390885,2.54909572049422,61.0
mcr-1.139,0.0635004938871437,87.13217710743328,2.429124626003845,61.0
mcr-1.140,0.0688536278566266,87.40106704665263,2.3166706647443,61.0
mcr-1.141,0.0632716299175819,87.3569078345663,2.5293110456568075,61.0
mcr-1.142,0.0608111155067008,87.43074260218457,2.5183586045980166,61.0
mcr-1.143,0.0668160461403607,87.2422748240675,2.4342645007874544,61.0
mcr-1.144,0.0644110147091221,87.31208179749517,2.440671322248257,61.0
mcr-1.145,0.0591889589858999,87.39686882323785,2.4158802517054645,61.0
mcr-1.146,0.0555858178420946,87.30240963969646,2.59069968916953,61.0
